"","City","OtherName","Country","Latitude","Longitude","Certainty","year","pop"
"1","Eridu","","Iraq","30.8158379","45.99607031",1,-3700,6000
"2","Eridu","","Iraq","30.8158379","45.99607031",1,-3500,10000
"3","Larak","Kesh","Iraq","32.31273751","45.66099799",1,-3500,10000
"4","Uruk","Erech","Iraq","31.322222","45.636111",1,-3500,14000
"5","Anshan","","Iran","30.01201958","52.40857658",1,-3300,10000
"6","Eridu","","Iraq","30.8158379","45.99607031",1,-3300,10000
"7","Larak","Kesh","Iraq","32.31273751","45.66099799",1,-3300,10000
"8","Uruk","Erech","Iraq","31.322222","45.636111",1,-3300,40000
"9","Anshan","","Iran","30.01201958","52.40857658",1,-3000,10000
"10","Eridu","","Iraq","30.8158379","45.99607031",1,-3000,10000
"11","Larak","Kesh","Iraq","32.31273751","45.66099799",1,-3000,10000
"12","Nagar","Tell Brak","Syria","36.66739231","41.05865393",1,-3000,20000
"13","Nippur","","Iraq","32.12693858","45.23078534",1,-3000,10000
"14","Uruk","Erech","Iraq","31.322222","45.636111",1,-3000,40000
"15","Adab","","Iraq","31.94700807","45.96842134",1,-2800,10000
"16","Anshan","","Iran","30.01201958","52.40857658",1,-2800,10000
"17","Kish","Qish","Iraq","32.55217989","44.5856425",1,-2800,30000
"18","Larak","Kesh","Iraq","32.31273751","45.66099799",1,-2800,40000
"19","Larsa","","Iraq","31.28397535","45.85304653",1,-2800,16000
"20","Mari","","Syria","34.54962872","40.88925833",1,-2800,10000
"21","Nagar","Tell Brak","Syria","36.66739231","41.05865393",1,-2800,20000
"22","Nippur","","Iraq","32.12693858","45.23078534",1,-2800,10000
"23","Shuruppak","","Iraq","31.77736278","45.50976115",1,-2800,30000
"24","Umma","","Sumer","31.6211048","45.93344587",1,-2800,20000
"25","Ur","","Iraq","30.962659","46.10321",1,-2800,12000
"26","Urkesh","Urkiesh, Urkish, Tell Mozan","Syria","37.056944","40.997222",3,-2800,10000
"27","Uruk","Erech","Iraq","31.322222","45.636111",1,-2800,80000
"28","Zabalam","Zabala","Iraq","31.743333","45.876667",2,-2800,10000
"29","Adab","","Iraq","31.94700807","45.96842134",1,-2500,20000
"30","Akshak","","Iraq","33.94720142","44.24471719",3,-2500,10000
"31","Anshan","","Iran","30.01201958","52.40857658",1,-2500,10000
"32","Ebla","","Syria","35.79839754","36.79872812",1,-2500,30000
"33","Harappa","","Pakistan","30.62983646","72.86614561",1,-2500,15000
"34","Kish","Qish","Iraq","32.55217989","44.5856425",1,-2500,20000
"35","Lagash","","Iraq","31.41480316","46.40981591",1,-2500,60000
"36","Larak","Kesh","Iraq","32.31273751","45.66099799",1,-2500,10000
"37","Larsa","","Iraq","31.28397535","45.85304653",1,-2500,10000
"38","Mari","","Syria","34.54962872","40.88925833",1,-2500,50000
"39","Memphis","","Egypt","29.844722","31.250833",2,-2500,30000
"40","Mohenjodaro","Mohenjo-Daro","Pakistan","27.32533494","68.13293014",1,-2500,20000
"41","Nagar","Tell Brak","Syria","36.66739231","41.05865393",1,-2500,15000
"42","Nippur","","Iraq","32.12693858","45.23078534",1,-2500,20000
"43","Shahr-e Sukhteh","Shakr-I-Sohta","Iran","30.595278","61.326389",1,-2500,20000
"44","Shehna","Tell Leilan, Shubat-Enlil","Syria","36.957222","41.505278",3,-2500,10000
"45","Shuruppak","","Iraq","31.77736278","45.50976115",1,-2500,30000
"46","Umma","","Sumer","31.6211048","45.93344587",1,-2500,40000
"47","Ur","","Iraq","30.962659","46.10321",1,-2500,10000
"48","Urkesh","Urkiesh, Urkish, Tell Mozan","Syria","37.056944","40.997222",3,-2500,30000
"49","Uruk","Erech","Iraq","31.322222","45.636111",1,-2500,40000
"50","Zabalam","Zabala","Iraq","31.743333","45.876667",2,-2500,10000
"51","Adab","","Iraq","31.94700807","45.96842134",1,-2400,10000
"52","Akshak","","Iraq","33.94720142","44.24471719",3,-2400,20000
"53","Anshan","","Iran","30.01201958","52.40857658",1,-2400,10000
"54","Ebla","","Syria","35.79839754","36.79872812",1,-2400,30000
"55","Girsu","","Iraq","31.56002579","46.1754283",1,-2400,40000
"56","Harappa","","Pakistan","30.62983646","72.86614561",1,-2400,20000
"57","Heliopolis","","Egypt","30.129528","31.288889",3,-2400,10000
"58","Lagash","","Iraq","31.41480316","46.40981591",1,-2400,30000
"59","Larak","Kesh","Iraq","32.31273751","45.66099799",1,-2400,10000
"60","Mari","","Syria","34.54962872","40.88925833",1,-2400,50000
"61","Memphis","","Egypt","29.844722","31.250833",2,-2400,30000
"62","Mohenjodaro","Mohenjo-Daro","Pakistan","27.32533494","68.13293014",1,-2400,40000
"63","Nagar","Tell Brak","Syria","36.66739231","41.05865393",1,-2400,10000
"64","Namazga-Tepe","Namazga-depe","Turkmenistan","37.372778","59.556944",1,-2400,10000
"65","Nippur","","Iraq","32.12693858","45.23078534",1,-2400,20000
"66","Shahr-e Sukhteh","Shakr-I-Sohta","Iran","30.595278","61.326389",1,-2400,20000
